0,1,2,3,4,5,6
0.37908974,0.51895493,0.56359124,0.8090211,0.3866574,0.2635331,0.22357135
0.7844673,0.65824187,0.67715335,0.41030625,0.56419516,0.52737665,0.5112506
0.5458511,0.63448757,0.21202886,0.58907443,0.37263206,0.13574454,0.70031524
0.5312691,0.51017123,0.2162661,0.39695734,0.5457563,0.5425194,0.2611098
0.3310173,0.49777845,0.46855062,0.36292446,0.5884862,0.5498341,0.23287836
0.6827816,0.6970388,0.25993457,0.7101428,0.48969337,0.49360746,0.4891862
0.69315255,0.2383039,0.37083906,0.18115675,0.86337566,0.37428322,0.20741883
0.5438002,0.20274922,0.7763048,0.42801297,0.5714757,0.5045251,0.40809086
0.19433327,0.39923707,0.5430128,0.3631391,0.46201628,0.38957155,0.31717926
0.3492514,0.124496736,0.62765884,0.7534581,0.35452825,0.5534055,0.25902614
0.7482494,0.8860931,0.33233646,0.4295895,0.7735497,0.09231863,0.47189063
0.8101166,0.6162517,0.6845493,0.20985812,0.7199809,0.2972028,0.1054369
0.37110907,0.20395209,0.403899,0.51022613,0.32184148,0.4184985,0.58135235
0.77845913,0.6770363,0.56630534,0.4094551,0.76018625,0.7518081,0.5427874
0.5463699,0.42450795,0.3228222,0.6520537,0.4470856,0.59686375,0.22644524
0.6423177,0.44632852,0.43577328,0.6189316,0.68150634,0.30508116,0.17236558
0.6344425,0.36261573,0.5252779,0.64559597,0.33321726,0.47383618,0.73088217
0.88491803,0.6525517,0.23877592,0.6641555,0.38683078,0.27294722,0.4000365
0.4472739,0.4011029,0.5798421,0.3165104,0.31272408,0.56803524,0.71921176
0.63657516,0.5289177,0.5274991,0.49045098,0.66795224,0.1673907,0.26521474
0.5122991,0.6834915,0.65924007,0.39542285,0.36952457,0.506967,0.42474696
0.3446021,0.5752482,0.43582338,0.4478605,0.6269614,0.33443695,0.16278481
0.72062474,0.3116713,0.21770525,0.32167083,0.81784356,0.48431692,0.39690635
0.6911288,0.36451098,0.568166,0.19878174,0.5965199,0.39100847,0.4499158
0.37316465,0.87068224,0.22624029,0.23906976,0.7473954,0.81520325,0.2059029
0.66268986,0.49379656,0.40017524,0.7438497,0.8299248,0.6161941,0.12192769
0.90584975,0.2267766,0.25462916,0.30077577,0.5469956,0.42528057,0.43046334
0.6942165,0.63923657,0.31197852,0.35637808,0.5941338,0.42401963,0.22302668
0.45913994,0.46944275,0.5912151,0.44171795,0.56309336,0.34380934,0.27480292
0.6983265,0.30371383,0.28838953,0.28165963,0.65990627,0.29010424,0.39880365
0.41570914,0.25654915,0.366127,0.8560855,0.64947283,0.4771848,0.17858617
0.24634226,0.45943266,0.36919177,0.73993397,0.6688372,0.43949667,0.6639413
0.9578898,0.3869494,0.47849724,0.28243107,0.84372437,0.25273046,0.21779002
0.6978204,0.7672585,0.8170419,0.48521137,0.69346684,0.11046575,0.12463239
0.4621556,0.5759439,0.24125871,0.60661554,0.5690773,0.33570552,0.5093978
0.6022215,0.29944012,0.38405988,0.4867891,0.33766827,0.4888289,0.37641713
0.7075506,0.38688117,0.89557153,0.22787769,0.75926286,0.63263613,0.24993618
0.9910308,0.4202904,0.3814654,0.22105134,0.86339796,0.23449115,0.2462505
0.81811714,0.79349124,0.41419673,0.32168657,0.3120669,0.12684229,0.70348424
0.809928,0.40677044,0.45046443,0.3146979,0.43916333,0.50410473,0.4214532
0.543102,0.51285565,0.58736825,0.5938137,0.764453,0.15071905,0.25477436
0.35610938,0.2862715,0.3063761,0.19581443,0.72650033,0.5564043,0.5707088
0.32935843,0.69171864,0.32944936,0.4704905,0.8245972,0.29225916,0.12362491
0.6296742,0.30009067,0.39893556,0.46018732,0.5923048,0.27213177,0.23026612
0.6338645,0.25832868,0.47266623,0.70132536,0.1427447,0.34556243,0.83605844
0.8655019,0.26762843,0.19008899,0.35134488,0.48042187,0.91956717,0.3219208
0.6744332,0.40972757,0.3155524,0.34519425,0.8757334,0.4137471,0.08969432
0.57988596,0.20597038,0.54784757,0.7379485,0.62032145,0.3364962,0.34424356
0.8280526,0.5604575,0.5326432,0.5405329,0.21983859,0.13743414,0.6376976
0.57460415,0.2296504,0.11851062,0.8458378,0.58074474,0.45168397,0.15846038
0.43789932,0.19620045,0.8286031,0.55163306,0.48418066,0.40668806,0.197105
0.5035198,0.5384094,0.60336643,0.745935,0.37808797,0.33605346,0.6007259
0.26693654,0.48053768,0.16033332,0.47963586,0.24482359,0.3246366,0.7716332
0.7213347,0.50579613,0.2438548,0.54633665,0.45393136,0.3187967,0.26382875
