,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
30,9,7,10,10,9,10,7,10,9,9,10,10,10,10,10,10,10,10
31,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
32,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10
33,10,9,10,10,10,10,10,10,9,10,10,10,10,5,10,10,10,10
34,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
35,9,10,10,9,10,10,10,9,9,10,10,10,10,10,10,10,10,10
36,10,9,9,10,10,10,10,10,9,10,10,10,8,10,10,10,10,10
37,9,8,9,9,10,9,8,9,8,9,10,10,10,10,10,10,10,8
38,9,0,9,10,10,10,0,9,10,9,10,8,10,9,10,8,9,10
39,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10
40,10,9,10,10,9,10,10,9,10,10,10,10,10,10,10,9,10,10
41,10,9,10,10,9,9,9,10,10,9,10,10,9,10,10,10,10,10
42,10,10,10,10,10,10,10,10,9,10,10,9,9,10,9,10,10,10
43,10,9,10,10,10,10,9,9,9,10,10,9,10,10,10,10,10,10
44,10,9,9,10,10,10,8,10,10,9,10,9,10,7,10,10,10,10
45,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10
46,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10
47,10,9,9,10,10,9,10,9,10,9,10,10,10,10,10,10,10,10
48,10,9,9,-1,10,9,8,8,0,10,10,10,10,6,10,10,10,10
49,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
50,10,9,10,10,10,10,10,9,10,10,10,9,8,10,10,10,10,10
51,6,10,10,10,5,5,10,9,10,6,10,0,0,10,10,10,10,10
52,9,9,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10
53,10,9,10,9,9,10,10,10,9,10,10,9,10,10,10,10,10,10
54,10,9,9,10,10,10,10,10,9,9,10,8,10,10,10,10,10,10
55,9,9,9,10,8,8,10,10,10,8,10,10,10,10,10,10,10,10
56,9,10,10,9,10,10,9,10,10,9,10,10,10,10,10,10,10,10
57,10,8,9,9,9,10,9,9,10,9,10,10,6,10,10,10,10,10
58,9,9,9,9,10,9,10,10,9,9,10,10,10,8,10,10,10,10
59,10,9,9,10,9,9,8,9,9,9,10,8,10,9,10,10,10,9
60,9,10,9,10,9,9,10,10,10,10,10,10,7,10,10,10,10,10
61,9,10,9,10,10,10,10,8,9,10,10,9,10,10,10,10,10,10
62,9,10,10,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10
63,9,4,10,9,10,10,5,10,10,9,10,10,10,9,10,10,10,10
64,8,8,10,10,8,9,9,10,9,9,10,10,9,10,10,10,10,10
65,9,9,9,9,9,9,9,9,8,9,10,10,10,10,10,10,8,10
66,10,10,10,10,9,10,10,10,9,9,10,10,10,10,10,10,10,10
67,9,8,8,10,10,10,9,7,10,9,10,0,10,10,10,10,10,10
68,10,8,10,10,10,10,8,10,10,10,10,9,10,10,10,10,10,10
69,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
70,10,8,9,9,9,10,9,10,9,9,10,5,10,10,9,10,10,10
